\ell, cls, \sigma_\ell
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.502443984241496651e+02 1.952815974347437589e+01
3.000000000000000000e+00 5.020910224181893113e+02 1.141582184318599147e+01
4.000000000000000000e+00 1.117925535324921213e+02 7.614465026119968449e+00
5.000000000000000000e+00 1.222523976402831920e+02 5.519712632150113762e+00
6.000000000000000000e+00 1.265155160222157775e+02 4.236827208134896772e+00
7.000000000000000000e+00 1.071164928999321830e+02 3.389508606109602251e+00
8.000000000000000000e+00 3.703660686829311288e+01 2.796150749566010951e+00
9.000000000000000000e+00 5.062309711782280175e+01 2.362683419647463978e+00
1.000000000000000000e+01 4.913577555144758691e+01 2.034734014663948987e+00
1.100000000000000000e+01 2.928762829461998152e+01 1.778923204040656847e+00
1.200000000000000000e+01 2.594075386255185478e+01 1.576098752135489667e+00
1.300000000000000000e+01 2.049501847714563496e+01 1.410677362608057983e+00
1.400000000000000000e+01 3.337300325523338529e+01 1.273808863096619337e+00
1.500000000000000000e+01 2.080374158962693443e+01 1.158498832432563130e+00
1.600000000000000000e+01 1.321895562249225975e+01 1.061370052044296575e+00
1.700000000000000000e+01 1.023777345726252719e+01 9.786642165463080856e-01
1.800000000000000000e+01 2.307366180883297346e+01 9.070180504211979855e-01
1.900000000000000000e+01 1.350853852489364648e+01 8.448562473942970996e-01
2.000000000000000000e+01 1.057308266492767324e+01 7.898147914241196998e-01
2.100000000000000000e+01 1.206660142652016354e+01 7.410941824574006631e-01
2.200000000000000000e+01 1.301772991976051230e+01 6.977516791844821098e-01
2.300000000000000000e+01 6.288515268870331631e+00 6.588398215021750159e-01
2.400000000000000000e+01 1.102491436630446131e+01 6.238370444642307167e-01
2.500000000000000000e+01 1.051628719550265245e+01 5.922607243751494277e-01
2.600000000000000000e+01 8.207599930160899504e+00 5.635202649944555109e-01
2.700000000000000000e+01 8.678080656452795694e+00 5.373788938737956711e-01
2.800000000000000000e+01 5.806974963793940070e+00 5.134741032773747493e-01
2.900000000000000000e+01 5.960169592516486148e+00 4.915313779673679551e-01
3.000000000000000000e+01 7.421967969161532785e+00 4.713798641170820480e-01
3.100000000000000000e+01 5.005559590785576773e+00 4.526783456691884089e-01
3.200000000000000000e+01 4.434598648701554957e+00 4.354398271492733730e-01
3.300000000000000000e+01 5.452135100549971192e+00 4.194079967537223674e-01
3.400000000000000000e+01 6.662289621950598040e+00 4.044658898321354945e-01
3.500000000000000000e+01 4.633018509724089462e+00 3.906187390052414665e-01
3.600000000000000000e+01 5.127405035812190093e+00 3.776077699642041430e-01
3.700000000000000000e+01 4.890358983633759316e+00 3.654416576756863710e-01
3.800000000000000000e+01 4.417704575328426309e+00 3.540567473986994118e-01
3.900000000000000000e+01 4.004976792080078951e+00 3.433702380830027101e-01
4.000000000000000000e+01 4.687892783088941862e+00 3.333130591822122124e-01
4.100000000000000000e+01 4.619824871546417633e+00 3.238230963495637438e-01
